time=2025-06-22T19:47:41.141+05:30 level=INFO source=/home/piush/Prog/learn/go-bookstore/cmd/server.go:27 msg="Initializing the Server"
time=2025-06-22T19:47:41.141+05:30 level=INFO source=/home/piush/Prog/learn/go-bookstore/cmd/server.go:81 msg="Setting up Middlewares"
{"time":"2025-06-22T21:47:32.33990607+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T21:50:24.983830771+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T21:50:24.983930137+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T21:50:24.985079581+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T21:50:24.995070442+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T22:21:17.265709925+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T22:21:17.265826795+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T22:21:17.266966367+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T22:21:17.277873+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T22:48:36.154387468+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T22:48:36.154470705+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T22:48:36.155622039+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T22:48:36.168315524+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T22:57:04.026578114+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T22:57:04.02668232+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T22:57:04.027723296+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T22:57:04.038348554+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T23:00:20.042080199+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T23:00:20.042170278+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T23:00:20.043277839+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T23:00:20.053455364+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
